,Name,Email,Address,Postal Code,Product Ordered,Order ID,Order Date,Units Ordered,Fulfillment Days,Delivery Delay Days,Return Status,is_missing_Order ID,Bulk Order Flag,is_missing_Fulfillment Days,is_missing_Delivery Delay Days
0,Jose Lyons,jenniferperry@example.net,"10227 Phillips Fords Apt. 548
Troybury, MA 51360",20508,SKU-BTM-016-M,ORD-808,2025-08-24,1,22.0,-1.0,0,0,False,0,0
1,Lauren Richards,justin95@example.net,"679 Doyle Forks
Port Cassandra, FL 54867",69230,SKU-TOP-014-S,ORD-051,2025-08-19,4,18.0,-1.0,0,0,False,0,0
2,Erin Doyle,fgarcia@example.org,"40648 Robert Ports Suite 187
New Kaitlynmouth, MN 47059",02489,SKU-FOT-017-M,ORD-540,2025-08-09,1,2.0,3.0,0,0,False,0,0
3,Eric Jones,gregory36@example.com,"53899 Laura Pine
North Matthew, MS 61208",62999,SKU-BTM-016-L,ORD-588,2025-08-11,5,5.0,0.0,0,0,False,0,0
4,Rachel Martinez,jacob97@example.com,"809 Jackson Cape
West Cesar, NY 29872",45790,SKU-TOP-001-S,ORD-870,2025-08-23,5,12.0,0.0,0,0,False,0,0
5,Jacob Robinson,smcmahon@example.com,"9818 Carla Knolls Suite 551
Lauraport, AS 31375",12965,SKU-BTM-008-M,ORD-463,2025-08-29,3,9.0,0.0,0,0,False,0,1
6,Steven Bennett,clewis@example.org,"30569 Tucker Path Suite 334
New Christopher, MA 57962",12510,SKU-TOP-007-L,ORD-666,2025-08-15,4,3.0,0.0,0,0,False,0,0
7,Courtney Mckee,payneangela@example.net,"67507 David Union
South Claire, NY 96862",69913,SKU-ACC-013-S,ORD-954,2025-08-06,1,13.0,1.0,0,0,False,0,0
8,Laura Lopez,hollandjanet@example.org,"PSC 5167, Box 6603
APO AP 30101",60249,SKU-ONP-002-M,ORD-533,2025-08-05,5,20.0,2.0,0,0,False,0,0
9,David House,billy18@example.net,"51724 Shirley Tunnel Apt. 415
Nguyenstad, MO 03910",84827,SKU-FOT-017-S,ORD-152,2025-08-25,1,30.0,1.0,0,0,False,0,0
10,Michael Mcdonald,tyler27@example.net,"011 Robert Forge Suite 002
Lake Angela, CO 17355",99764,SKU-ONP-009-L,ORD-583,2025-08-01,1,12.0,-3.0,0,0,False,0,0
11,Sharon Miller,floreschad@example.net,"26725 Heidi Stream Apt. 624
East Melissa, PR 29008",02233,SKU-TOP-007-L,ORD-933,2025-08-19,3,24.0,-2.0,1,0,False,0,0
12,James Swanson,david41@example.net,"3547 Andrews Branch Suite 826
West Gregoryview, HI 98301",47967,SKU-BTM-016-S,ORD-201,2025-08-19,2,8.0,-4.0,1,0,False,0,0
13,Julian Smith,hansenandre@example.net,"09429 Alvarado Mountains
South Ambermouth, ID 53247",13964,SKU-ACC-010-L,ORD-078,2025-08-11,1,19.0,-2.0,0,0,False,0,0
14,Ronnie Bowers,richard68@example.org,"944 Crawford Burgs Suite 424
West Matthew, MA 37388",81472,SKU-ONP-002-S,ORD-346,2025-08-09,1,19.0,-1.0,1,0,False,0,0
15,David Jenkins,amanda09@example.net,"43726 Corey Port Suite 952
Lake Karentown, IL 85666",50771,SKU-TOP-007-S,ORD-830,2025-08-18,3,30.0,7.0,0,0,False,0,0
16,Tracy Tate,zrobinson@example.com,"USS Klein
FPO AA 17349",13572,SKU-ONP-002-L,ORD-607,2025-08-04,5,30.0,-1.0,0,0,False,0,0
17,Thomas Shaw,jacobskayla@example.org,"079 Morse Summit Suite 268
Sarahton, MN 04880",20712,SKU-ACC-005-M,ORD-088,2025-08-04,2,20.0,3.0,0,0,False,0,0
18,Mary Nelson,koconnor@example.com,"125 Smith Lights
Markstad, NV 04063",33454,SKU-ONP-002-L,ORD-472,2025-08-29,2,13.0,-4.0,1,0,False,0,0
19,Amy King,john48@example.net,"30302 Kevin Port Suite 141
Brownland, ME 56256",96332,SKU-ACC-010-M,ORD-737,2025-08-23,3,6.0,-1.0,0,0,False,0,0
20,Charles Brown,johnsonbrian@example.net,"4568 Daniel Views Suite 315
Lopezfort, DC 42316",77251,SKU-TOP-007-S,ORD-211,2025-08-29,3,23.0,0.0,0,0,False,0,1
21,Danny Salazar,jamesgreen@example.com,"466 Rodriguez Dale Apt. 249
Levineland, CA 89547",23193,SKU-ACC-015-S,ORD-002,2025-08-16,1,18.0,-3.0,1,0,False,0,0
22,Jeffrey Foster,tinahernandez@example.com,"5360 Dixon Parks
Port Steve, UT 76690",82619,SKU-ACC-013-L,ORD-494,2025-08-02,3,25.0,-4.0,1,0,False,0,0
23,Gregory Williams,mclark@example.com,"8129 Kelly Dale
Copelandfort, IA 22565",26353,SKU-FOT-017-M,ORD-885,2025-08-08,4,2.0,7.0,0,0,False,0,0
24,Elijah Cordova,averymeagan@example.net,"2407 Roberts Knolls
Port Sandra, GA 82409",52695,SKU-ONP-003-S,ORD-303,2025-08-09,5,25.0,-2.0,1,0,False,0,0
