,Name,Email,Address,Postal Code,Product Ordered,Order ID,Order Date,Units Ordered,Fulfillment Days,Delivery Delay Days,Return Status
0,Kenneth Wells,madeline85@example.com,"Unit 5671 Box 8524
DPO AA 17893",61102,SKU-BTM-013-L,ORD-790,2025-07-04,2,16.0,-8.0,1
1,Catherine White,qfoster@example.org,"032 Jacqueline Ports Suite 694
Melaniebury, WI 88355",57841,SKU-OUT-012-S,ORD-147,2025-07-23,3,17.0,0.0,1
2,Jennifer Ruiz,jason12@example.net,"9915 Johnson Knoll
Sparksfort, IL 28416",00577,SKU-FOT-010-S,ORD-692,2025-07-24,3,11.0,-1.0,0
3,Samuel Andrews,rodgersryan@example.com,"69648 Diaz Roads Suite 242
East Williamfurt, MT 09245",70689,SKU-ONP-002-S,ORD-967,2025-07-10,3,5.0,-1.0,0
4,Shawn Morrison,johngibson@example.org,"796 Parker Fork Apt. 371
New Williamville, NJ 10632",94816,SKU-ONP-005-L,ORD-472,2025-07-04,3,14.0,-5.0,0
5,David Friedman,fleblanc@example.net,"340 Emily Plains Suite 933
Ashleychester, NE 51757",78600,SKU-BTM-013-L,ORD-378,2025-07-12,1,3.0,,0
6,Pam Malone,martinezandrew@example.org,"9410 Chapman Locks
East Ashleyville, NC 36994",19365,SKU-ACC-008-M,ORD-156,2025-07-10,2,23.0,4.0,0
7,Benjamin Hayes,abrewer@example.org,"75152 Gibson Shoals
Millermouth, ME 87839",93889,SKU-FOT-004-M,ORD-480,2025-07-30,1,14.0,1.0,1
8,Kendra Collins,jbrown@example.net,"893 Hamilton Hill
Reidborough, OR 70918",09947,SKU-TOP-001-S,ORD-677,2025-07-17,1,15.0,-3.0,1
9,Thomas Herman,qmiles@example.net,"2432 Bird Highway
Karenbury, OR 63914",18979,SKU-TOP-001-L,ORD-235,2025-07-06,5,79.0,1.0,0
10,Teresa Fisher,newmanlinda@example.org,"39870 Miller Ford
Port Robert, ME 28464",59486,SKU-ONP-005-S,ORD-490,2025-07-07,2,24.0,-1.0,1
11,Aaron Lewis,baxterchristopher@example.com,"450 Becky Station Suite 865
Brewerside, IL 92600",02731,SKU-ONP-007-L,ORD-730,2025-07-08,4,25.0,0.0,1
12,Alexander Manning,robert82@example.net,"6772 Morales Point Suite 271
Greenmouth, AZ 76982",10088,SKU-FOT-004-M,ORD-102,2025-07-29,4,3.0,-2.0,0
13,Melissa Williams,nelsonryan@example.org,"572 Payne Hill
West Gina, ME 17309",40727,SKU-OUT-009-S,ORD-597,2025-07-18,2,23.0,4.0,0
14,Derek Hoffman,zfrederick@example.com,"81281 Michael Row
New Cynthiashire, AK 93997",85647,SKU-OUT-012-S,ORD-333,2025-07-08,5,1.0,0.0,1
15,Jason Davidson,leblanclisa@example.org,"66191 Wright Path Suite 451
Mendezhaven, HI 51499",98384,SKU-OUT-009-L,ORD-585,2025-07-16,5,61.0,-5.0,1
16,Joshua Cook,jamiepatton@example.net,"4615 Kevin Prairie Suite 979
New Alejandrobury, AK 39855",03437,SKU-ONP-005-S,ORD-006,2025-07-24,1,56.0,1.0,0
17,Steven Mcguire,wesleyramirez@example.com,"PSC 7291, Box 7048
APO AP 52062",95945,SKU-ACC-015-M,ORD-137,2025-07-08,1,5.0,-2.0,1
18,James Harper,johnsonscott@example.net,"75079 Robert Parkways Suite 191
East Stevenstad, VA 64258",73394,SKU-ONP-005-S,ORD-895,2025-07-17,1,25.0,2.0,1
19,Travis Barker,heatherjohnson@example.org,"91143 Hickman Club Suite 628
West Ryanview, MD 39162",22861,SKU-ONP-002-S,ORD-715,2025-07-14,4,16.0,0.0,0
20,Adam Anderson,craigjoseph@example.org,"49905 Tara Extension Apt. 050
Hallview, NV 75786",36555,SKU-ONP-002-M,ORD-040,2025-07-23,3,20.0,,1
21,Luis Thomas,davidingram@example.net,"101 Phillips Estate Apt. 908
Port Garrettside, SD 76321",26677,SKU-BTM-016-L,ORD-314,2025-07-30,1,13.0,2.0,0
22,Allison Robinson,raymond84@example.org,"38350 Amy Ville Apt. 668
East Samantha, IN 55150",98457,SKU-FOT-004-S,ORD-147,2025-07-16,4,19.0,-2.0,0
23,Meredith Daniel,brian42@example.org,"9352 Warren Cliffs Apt. 821
Rossfort, KY 93487",97407,SKU-ACC-015-L,ORD-125,2025-07-17,3,6.0,4.0,0
24,Richard Hester,rsawyer@example.net,"2429 Cheyenne Crossing
North Gary, IA 66796",07054,SKU-ONP-005-S,ORD-194,2025-07-02,5,19.0,-2.0,1
25,James Hanna,emily76@example.com,"8281 Emily Wells
Port Kimberlyhaven, MS 25497",81741,SKU-ONP-003-S,ORD-946,2025-07-23,5,7.0,1.0,1
